X,Y,name
14,126,Amsterdam
94,195,Belgrade
57,130,Berlin
20,172,Berne
106,125,Bialystok
75,167,Bratislava
9,138,Brussels
86,173,Budapest
127,196,Bucharest
81,126,Bydgoszcz
84,115,Gdansk
67,129,Gorzow Wlkp.
111,65,Helsinki
85,150,Katowice
94,145,Kielce
146,144,Kiev
141,173,Kishinev
55,103,Copenhagen
91,151,Krakow
32,172,Liechtenstein
59,184,Ljubljana
104,141,Lublin
88,137,Lodz
17,149,Luxembourg
128,117,Minsk
16,198,Monaco
93,120,Olsztyn
80,146,Opole
50,67,Oslo
75,132,Poznan
61,150,Prague
109,93,Riga
101,151,Rzeszow
46,200,San Marino
82,203,Sarajevo
63,123,Szczecin
82,74,Stockholm
111,72,Tallinn
84,127,Torun
96,133,Warszawa
71,166,Vienna
116,112,Vilnius
75,143,Wroclaw
68,186,Zagreb
68,135,Zielona Gora
